carat,cut,color,clarity,depth,table,price,x,y,z
0.7,Ideal,H,SI2,62.1,55.0,2110,5.69,5.72,3.54
1.11,Ideal,H,SI1,62.5,56.0,5395,6.65,6.63,4.15
0.38,Ideal,F,IF,62.2,54.0,1229,4.68,4.71,2.92
0.91,Premium,F,SI2,63.0,59.0,3346,6.17,6.12,3.87
0.91,Ideal,E,SI1,61.0,58.0,4132,6.23,6.29,3.82
0.51,Very Good,D,VS2,61.1,59.0,1787,5.12,5.16,3.14
1.01,Premium,G,I1,61.7,62.0,2364,6.41,6.35,3.93
1.5,Premium,F,VS2,61.1,58.0,14199,7.36,7.33,4.49
0.9,Good,F,SI1,63.2,61.0,3950,6.09,6.13,3.86
0.57,Ideal,F,VS2,60.7,56.0,2096,5.37,5.41,3.27
2.0,Ideal,H,VS2,62.4,55.0,15451,8.03,7.94,4.99
1.06,Very Good,H,SI2,62.8,57.0,4372,6.49,6.57,4.1
0.3,Ideal,I,VVS1,62.4,56.0,552,4.3,4.32,2.69
2.01,Premium,H,VS2,60.1,61.0,17068,8.14,8.06,4.87
1.01,Ideal,G,VS2,62.4,56.0,5946,6.42,6.39,4.0
0.24,Good,F,VVS1,58.3,57.0,552,4.1,4.14,2.4
0.7,Premium,E,SI2,59.8,61.0,2135,5.76,5.74,3.44
0.32,Ideal,G,VS1,61.2,56.0,645,4.39,4.43,2.7
1.01,Ideal,F,SI2,60.5,57.0,4416,6.49,6.53,3.94
0.81,Very Good,I,VS1,62.7,58.0,2950,5.9,5.96,3.72
0.41,Ideal,H,VVS1,62.7,54.0,1115,4.79,4.78,3.0
0.29,Very Good,F,VS1,63.0,55.0,504,4.24,4.27,2.68
0.5,Good,E,SI2,58.3,58.0,1101,5.23,5.2,3.04
0.34,Very Good,I,VS2,61.6,56.0,457,4.47,4.51,2.76
0.33,Good,E,SI1,63.3,56.0,579,4.41,4.43,2.8
0.39,Premium,G,VS1,61.7,62.0,951,4.69,4.65,2.88
0.55,Ideal,G,SI1,60.8,56.0,1429,5.3,5.36,3.24
0.3,Ideal,F,SI1,62.1,55.0,475,4.31,4.35,2.69
0.4,Good,G,VVS2,61.4,64.0,974,4.65,4.7,2.87
1.21,Good,I,VS2,64.1,61.0,5028,6.7,6.66,4.28
0.4,Ideal,F,SI1,62.9,57.0,945,4.7,4.68,2.95
1.21,Ideal,F,VS2,61.3,56.0,9397,6.86,6.91,4.22
1.0,Premium,I,VS2,62.7,62.0,3918,6.32,6.27,3.95
0.87,Ideal,E,SI1,61.5,57.0,5112,6.12,6.15,3.77
0.7,Very Good,I,SI1,63.2,59.0,1890,5.59,5.62,3.54
0.95,Ideal,J,SI1,63.0,56.0,3275,6.32,6.26,3.96
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75
0.51,Premium,G,VS1,62.1,60.0,1781,5.11,5.1,3.17
0.51,Premium,F,SI1,61.3,59.0,1421,5.19,5.15,3.17
0.26,Very Good,E,VS2,63.2,56.0,453,4.06,4.1,2.58
1.0,Very Good,G,VS2,62.7,58.0,5544,6.34,6.42,4.0
0.91,Very Good,F,SI2,61.4,60.0,3726,6.13,6.16,3.77
0.76,Ideal,D,VS1,61.1,54.0,3353,5.86,5.89,3.59
0.47,Ideal,G,VVS2,62.2,53.0,1618,5.0,5.04,3.12
1.05,Ideal,E,VVS2,62.4,56.0,9146,6.52,6.49,4.06
1.02,Good,F,SI1,63.7,61.0,4678,6.27,6.23,3.98
0.27,Ideal,F,VVS2,62.0,55.0,760,4.14,4.16,2.57
1.04,Premium,G,SI1,62.6,55.0,4948,6.49,6.42,4.04
0.7,Very Good,H,IF,62.8,56.0,2882,5.62,5.65,3.54
0.33,Premium,I,IF,62.0,58.0,891,4.46,4.44,2.76
1.1,Very Good,D,SI2,61.1,58.0,5320,6.61,6.69,4.06
1.2,Ideal,F,VS2,62.6,56.0,8486,6.78,6.73,4.23
1.39,Premium,G,SI1,61.3,59.0,7991,7.24,7.15,4.41
0.5,Good,G,VVS2,64.1,56.0,1791,5.06,5.02,3.23
0.9,Very Good,H,VVS2,60.3,61.0,4432,6.22,6.25,3.76
0.52,Very Good,D,VS2,59.4,61.0,1701,5.23,5.24,3.11
1.05,Ideal,D,SI1,62.8,57.0,5914,6.46,6.48,4.06
0.41,Very Good,G,SI2,59.6,60.0,621,4.82,4.85,2.88
0.31,Premium,I,SI1,60.7,60.0,523,4.37,4.33,2.64
1.08,Premium,E,VS2,59.4,59.0,7548,6.71,6.68,3.98
0.93,Premium,I,VS2,62.7,61.0,4073,6.24,6.14,3.88
1.0,Good,H,SI2,63.9,55.0,3878,6.25,6.33,4.02
0.33,Very Good,G,VVS2,59.7,59.0,806,4.48,4.53,2.69
1.2,Very Good,H,VS1,60.2,57.0,8039,6.88,6.95,4.16
1.07,Ideal,E,SI2,62.4,57.0,4613,6.52,6.55,4.08
0.4,Ideal,I,IF,62.8,54.0,1053,4.7,4.72,2.96
0.33,Premium,E,IF,60.8,58.0,1207,4.49,4.46,2.72
0.3,Ideal,G,SI1,61.4,57.0,477,4.28,4.32,2.64
2.08,Premium,H,SI2,58.8,60.0,14462,8.39,8.35,4.92
1.2,Very Good,F,SI1,61.9,58.0,6985,6.75,6.82,4.2
1.0,Fair,E,SI2,57.3,62.0,4032,6.54,6.59,3.76
0.7,Fair,H,VS1,64.9,56.0,2152,5.68,5.56,3.65
0.54,Ideal,H,VVS1,61.8,55.0,1944,5.24,5.21,3.23
0.88,Premium,D,SI2,60.9,61.0,3390,6.16,6.13,3.74
0.51,Very Good,D,VS2,60.5,60.0,1787,5.16,5.19,3.13
0.4,Premium,H,VVS2,60.6,60.0,877,4.75,4.79,2.89
1.54,Premium,G,SI2,61.6,58.0,7287,7.45,7.3,4.57
1.01,Ideal,G,SI2,59.5,57.0,4079,6.56,6.59,3.91
0.84,Premium,D,VS1,60.6,57.0,4365,6.15,6.06,3.7
0.38,Very Good,H,VVS1,60.0,57.0,975,4.75,4.79,2.86
0.51,Ideal,G,VVS2,60.1,56.0,1813,5.22,5.24,3.14
1.01,Good,D,VS1,62.2,62.0,7303,6.29,6.41,3.95
0.75,Good,J,SI1,63.9,56.0,2250,5.76,5.71,3.66
1.39,Very Good,I,I1,62.6,57.0,3914,7.1,7.15,4.46
0.54,Ideal,G,VS2,60.7,56.0,1637,5.29,5.25,3.2
0.9,Ideal,H,VS2,62.7,57.0,4072,6.13,6.15,3.85
0.7,Very Good,H,SI1,62.1,59.0,2213,5.62,5.66,3.5
0.32,Ideal,E,VVS2,60.8,57.0,842,4.42,4.46,2.7
1.24,Ideal,I,VS2,61.8,56.0,7544,6.86,6.89,4.25
0.53,Premium,D,VS1,60.0,61.0,2147,5.3,5.26,3.17
0.34,Ideal,F,IF,61.8,55.0,999,4.49,4.51,2.78
0.9,Premium,F,I1,61.9,59.0,2316,6.18,6.16,3.82
0.31,Ideal,F,IF,62.3,54.0,914,4.37,4.39,2.73
0.38,Ideal,J,VS2,61.4,57.0,617,4.65,4.68,2.87
1.38,Ideal,H,VS1,63.6,56.0,8037,7.05,7.0,4.47
0.33,Ideal,H,VS1,61.6,55.0,610,4.46,4.48,2.75
1.76,Ideal,I,VS1,62.0,57.0,11722,7.74,7.71,4.79
1.03,Very Good,H,SI1,61.4,57.0,4879,6.45,6.54,3.99
1.03,Premium,H,VS1,61.2,58.0,5744,6.52,6.55,4.0
0.31,Ideal,D,VS2,61.2,55.0,734,4.37,4.42,2.69
1.02,Ideal,H,SI2,61.9,56.0,4353,6.47,6.51,4.02
0.36,Ideal,F,VS1,61.5,55.0,803,4.57,4.61,2.82
1.07,Premium,F,SI2,61.7,58.0,4446,6.58,6.55,4.05
2.22,Ideal,G,SI2,62.6,57.0,14637,8.35,8.29,5.21
1.51,Premium,F,VS2,62.0,60.0,14294,7.35,7.23,4.52
0.43,Premium,F,SI1,62.4,57.0,1016,4.82,4.79,3.0
0.41,Ideal,E,VS1,62.7,55.0,1153,4.76,4.72,2.97
0.49,Good,F,VS1,63.6,59.0,1426,4.95,4.92,3.14
0.79,Very Good,H,SI2,63.2,55.0,2348,5.93,5.9,3.74
0.33,Ideal,E,VS2,60.5,55.0,738,4.52,4.56,2.74
0.5,Good,G,VS2,63.2,57.0,1410,4.99,5.04,3.17
0.41,Very Good,D,VVS1,62.7,56.0,1349,4.74,4.77,2.98
0.56,Premium,G,SI1,61.7,58.0,1176,5.31,5.29,3.27
0.9,Very Good,E,SI1,62.9,57.0,3510,6.11,6.17,3.86
1.51,Premium,G,VVS2,62.9,60.0,13828,7.3,7.21,4.56
0.52,Ideal,H,IF,61.8,55.0,1798,5.17,5.19,3.2
2.01,Good,I,VS2,63.8,58.0,15147,7.82,7.89,5.01
0.36,Ideal,F,VS2,61.5,55.0,807,4.6,4.57,2.82
0.38,Ideal,G,SI1,61.8,54.0,969,4.69,4.67,2.9
1.01,Very Good,G,VS2,62.5,60.0,5519,6.31,6.37,3.96
1.01,Good,I,VS1,63.8,57.0,4016,6.31,6.23,4.0
0.35,Ideal,F,VVS2,62.1,56.0,956,4.56,4.52,2.82
0.45,Ideal,G,IF,61.7,55.0,1548,4.93,4.96,3.05
1.14,Ideal,H,VS2,61.6,56.0,5831,6.68,6.72,4.13
0.7,Very Good,E,VS1,63.4,60.0,3068,5.63,5.66,3.58
0.7,Ideal,F,SI1,62.6,56.0,2200,5.69,5.66,3.55
0.33,Ideal,I,VS1,61.6,57.0,668,4.46,4.41,2.73
0.7,Good,G,SI1,63.8,59.0,2117,5.62,5.58,3.57
0.4,Ideal,D,SI1,62.5,55.0,741,4.71,4.73,2.95
1.28,Good,J,SI1,63.4,59.0,4878,6.84,6.89,4.35
0.95,Ideal,I,VS2,62.2,57.0,3884,6.29,6.22,3.89
1.09,Ideal,E,VS1,61.3,56.0,8809,6.71,6.66,4.1
0.74,Ideal,I,VS2,61.5,57.0,2459,5.81,5.86,3.59
0.71,Very Good,I,VS2,60.4,60.0,2185,5.72,5.8,3.48
0.55,Ideal,E,VS1,61.2,57.0,2001,5.28,5.3,3.24
1.51,Good,I,SI1,63.9,59.0,9069,7.18,7.26,4.61
0.27,Very Good,F,VVS2,61.8,56.0,682,4.19,4.2,2.6
0.3,Very Good,D,VS1,59.7,58.0,681,4.39,4.32,2.6
0.36,Premium,F,SI1,61.1,59.0,770,4.62,4.58,2.81
1.51,Ideal,J,VS1,61.9,56.0,8524,7.41,7.35,4.57
0.4,Good,E,SI1,63.3,56.0,687,4.68,4.74,2.98
1.01,Premium,F,SI1,62.3,59.0,4969,6.38,6.4,3.98
1.0,Ideal,D,SI1,62.2,56.0,5880,6.38,6.35,3.96
0.51,Ideal,D,VS2,60.5,56.0,1644,5.2,5.21,3.15
0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66
0.41,Very Good,G,VVS2,61.9,54.0,932,4.77,4.82,2.96
0.93,Premium,G,VS1,62.1,59.0,4793,6.21,6.16,3.84
0.26,Very Good,G,VVS2,62.2,56.0,426,4.08,4.1,2.54
0.9,Premium,D,VS2,58.7,62.0,4505,6.32,6.29,3.7
0.73,Premium,E,SI2,62.2,55.0,2256,5.81,5.71,3.58
0.31,Ideal,D,VS2,61.5,56.0,942,4.36,4.35,2.68
0.35,Ideal,F,SI1,62.5,54.0,583,4.5,4.52,2.82
0.5,Good,J,VS2,57.7,60.0,963,5.28,5.26,3.04
0.33,Premium,F,VS2,61.9,57.0,854,4.44,4.42,2.74
0.8,Premium,E,VS2,63.0,56.0,3494,5.91,5.84,3.7
1.31,Ideal,J,SI1,62.5,56.0,6337,6.95,7.04,4.37
0.51,Very Good,F,VS2,62.9,55.0,1569,5.08,5.12,3.21
2.12,Premium,G,SI2,62.6,59.0,18164,8.18,8.12,5.1
1.01,Very Good,G,SI1,62.6,59.0,4916,6.38,6.3,3.97
0.6,Very Good,F,SI1,63.2,57.0,1599,5.39,5.33,3.39
0.5,Premium,D,SI1,61.4,59.0,1363,5.12,5.08,3.13
1.02,Ideal,H,SI1,60.9,57.0,5522,6.51,6.55,3.98
1.51,Good,I,SI1,63.7,61.0,8245,7.15,7.11,4.54
1.5,Very Good,H,VS2,60.0,62.0,11220,7.38,7.41,4.44
0.3,Ideal,G,VVS1,61.7,57.0,684,4.31,4.34,2.67
0.33,Premium,F,VS2,60.0,60.0,740,4.49,4.45,2.68
0.71,Premium,H,SI2,62.4,56.0,2028,5.7,5.64,3.54
0.59,Ideal,E,SI1,62.0,55.0,1789,5.4,5.37,3.34
0.39,Good,G,VVS2,63.4,57.0,894,4.62,4.65,2.94
0.3,Good,G,VVS2,63.2,57.0,684,4.23,4.28,2.69
0.41,Premium,G,VVS1,61.0,61.0,1230,4.75,4.72,2.89
1.06,Ideal,G,VS2,61.1,57.0,6548,6.56,6.59,4.02
1.23,Premium,G,SI2,58.9,62.0,4408,7.03,6.97,4.12
1.27,Premium,J,SI1,61.8,58.0,5121,6.97,6.91,4.29
1.5,Premium,E,I1,61.5,58.0,4032,7.38,7.2,4.5
0.4,Ideal,E,VS1,62.3,56.0,1125,4.73,4.71,2.94
0.61,Ideal,G,SI1,61.4,56.0,1659,5.46,5.49,3.36
1.25,Ideal,I,VS1,61.4,58.0,7042,6.89,6.93,4.24
0.7,Premium,H,SI2,61.1,58.0,1817,5.72,5.84,3.53
0.71,Ideal,D,SI2,62.3,56.0,2416,5.68,5.72,3.55
0.55,Ideal,I,SI1,61.7,55.0,1134,5.29,5.31,3.27
0.59,Very Good,G,VS2,62.8,59.0,1623,5.28,5.33,3.33
0.41,Fair,G,VVS2,64.7,56.0,833,4.68,4.72,3.04
0.49,Very Good,D,VS2,64.0,53.0,1336,4.94,4.99,3.18
0.33,Premium,G,VVS1,61.4,60.0,1114,4.44,4.39,2.71
1.01,Fair,F,SI2,64.6,59.0,3540,6.19,6.25,4.2
0.6,Ideal,I,VVS1,62.0,56.0,1715,5.39,5.43,3.35
0.72,Ideal,G,VS2,62.7,56.0,2578,5.72,5.76,3.6
0.71,Premium,E,SI1,63.0,58.0,2554,5.72,5.68,3.59
0.53,Very Good,G,SI2,60.8,58.0,1070,5.19,5.21,3.16
0.43,Ideal,G,VVS1,61.5,56.0,1118,4.87,4.89,3.0
1.16,Good,H,SI1,64.0,58.0,5678,6.63,6.56,4.22
1.86,Good,G,SI2,63.8,55.0,9791,7.79,7.73,4.95
0.34,Premium,H,VVS1,61.1,59.0,775,4.48,4.52,2.75
0.42,Premium,D,SI2,60.0,61.0,898,4.89,4.85,2.92
0.57,Premium,G,VS2,59.7,59.0,1728,5.41,5.37,3.22
0.7,Ideal,F,SI1,60.8,60.0,2445,5.74,5.78,3.5
1.2,Very Good,H,VS1,62.0,57.0,6177,6.77,6.81,4.21
0.35,Premium,E,VVS2,60.2,58.0,1024,4.66,4.61,2.79
1.58,Premium,I,VS1,61.1,59.0,10618,7.52,7.44,4.57
1.18,Ideal,E,VS1,61.4,57.0,11104,6.77,6.81,4.17
0.31,Ideal,G,VVS2,61.2,54.0,677,4.38,4.41,2.69
0.4,Ideal,G,IF,61.8,55.0,1229,4.76,4.79,2.95
0.4,Very Good,G,VS2,62.9,56.0,807,4.69,4.72,2.96
0.31,Ideal,F,VS2,61.9,55.0,625,4.37,4.39,2.71
1.54,Very Good,I,SI2,59.4,61.0,7589,7.49,7.56,4.47
1.14,Premium,G,SI1,63.0,59.0,5273,6.68,6.62,4.19
1.0,Very Good,G,VS2,62.2,58.0,6743,6.35,6.39,3.96
0.55,Very Good,D,SI2,59.7,64.0,1401,5.26,5.32,3.16
0.3,Premium,I,SI1,61.6,62.0,506,4.3,4.27,2.64
0.51,Ideal,I,SI1,62.2,56.0,984,5.08,5.12,3.17
1.16,Ideal,I,VS2,61.5,57.0,5302,6.78,6.75,4.16
0.32,Ideal,G,VS2,62.0,57.0,672,4.41,4.37,2.72
0.35,Premium,G,VS1,62.6,56.0,845,4.52,4.49,2.82
0.31,Premium,H,VS1,62.4,58.0,698,4.36,4.32,2.71
1.22,Ideal,H,SI2,61.7,56.0,5502,6.87,6.93,4.26
1.02,Premium,F,SI2,60.4,60.0,4238,6.53,6.49,3.93
1.05,Ideal,G,VS2,62.8,57.0,6604,6.49,6.45,4.06
1.7,Premium,I,SI1,58.6,59.0,8663,7.79,7.75,4.55
0.93,Very Good,I,VS2,63.5,57.0,3563,6.13,6.21,3.92
0.53,Ideal,E,VS2,61.8,56.0,1801,5.21,5.17,3.21
0.51,Ideal,E,SI1,61.7,55.0,1443,5.17,5.13,3.18
1.08,Ideal,H,SI2,60.4,57.0,4536,6.68,6.63,4.02
0.54,Ideal,E,VS2,62.4,56.0,1765,5.23,5.19,3.25
0.5,Very Good,F,SI1,61.0,60.0,1197,5.08,5.11,3.11
0.57,Ideal,G,VVS2,61.7,56.0,2206,5.33,5.3,3.28
0.4,Very Good,H,VS1,62.7,56.0,807,4.71,4.73,2.96
2.03,Ideal,I,SI1,62.6,55.0,14548,8.06,8.11,5.06
0.35,Very Good,F,SI2,62.8,55.0,460,4.48,4.53,2.83
0.57,Very Good,G,VS2,63.3,56.0,1641,5.3,5.25,3.34
0.41,Very Good,E,SI1,62.9,57.0,755,4.73,4.78,2.99
0.35,Premium,D,SI2,62.3,58.0,522,4.48,4.54,2.81
1.25,Premium,J,SI1,62.0,61.0,4200,6.86,6.84,4.25
1.51,Good,J,SI2,58.1,64.0,6215,7.57,7.53,4.39
0.38,Premium,E,VVS1,60.6,59.0,1119,4.65,4.62,2.81
0.32,Premium,E,VS2,61.2,59.0,702,4.4,4.43,2.7
0.43,Ideal,H,VS1,61.1,57.0,868,4.88,4.91,2.99
0.39,Good,E,VVS2,61.5,61.0,943,4.73,4.74,2.91
0.3,Ideal,G,VVS2,62.5,55.0,665,4.3,4.34,2.7
1.34,Ideal,J,VS1,62.0,57.0,6010,7.12,7.04,4.39
0.94,Ideal,D,SI1,62.3,57.0,4575,6.24,6.29,3.9
0.34,Ideal,E,VS1,62.0,57.0,881,4.49,4.44,2.77
1.53,Premium,F,VS1,60.3,58.0,15217,7.51,7.48,4.52
0.31,Very Good,G,VVS2,62.6,57.0,707,4.29,4.33,2.7
0.35,Ideal,D,VS2,62.4,55.0,1063,4.52,4.48,2.81
0.5,Very Good,D,VS2,63.8,56.0,1580,5.05,5.08,3.23
0.33,Ideal,E,VS2,62.3,56.0,928,4.47,4.46,2.78
1.3,Premium,F,VS1,62.5,58.0,11392,6.97,6.94,4.35
0.58,Ideal,H,VVS1,62.1,53.6,1961,5.35,5.38,3.34
0.33,Ideal,H,VVS2,62.2,56.0,666,4.44,4.46,2.77
0.54,Ideal,G,VVS2,61.5,54.0,2090,5.26,5.24,3.23
0.57,Ideal,E,VVS2,60.6,56.2,2719,5.36,5.4,3.26
0.96,Fair,F,SI2,65.2,58.0,3688,6.14,6.12,3.99
1.14,Premium,I,SI1,60.4,60.0,4596,6.78,6.73,4.08
2.37,Ideal,H,SI2,62.1,55.0,16937,8.52,8.54,5.3
0.7,Ideal,E,VS2,62.1,55.0,2952,5.71,5.75,3.56
0.54,Ideal,H,VVS1,61.1,57.0,1846,5.22,5.26,3.2
0.3,Ideal,G,VS2,63.0,55.0,675,4.31,4.29,2.71
0.54,Ideal,D,SI1,60.8,57.0,1662,5.25,5.31,3.21
1.03,Very Good,D,VS2,63.3,57.0,7102,6.39,6.44,4.06
0.41,Premium,E,VVS1,60.7,58.0,1367,4.8,4.86,2.93
0.91,Very Good,G,SI1,63.6,57.0,3961,6.09,6.12,3.88
1.07,Premium,J,SI2,62.4,58.0,4105,6.54,6.47,4.06
0.4,Very Good,G,VS1,61.5,57.0,871,4.73,4.77,2.92
0.7,Very Good,G,VS1,61.0,57.0,2591,5.69,5.72,3.48
0.4,Very Good,J,VVS1,61.2,55.0,772,4.75,4.8,2.92
0.9,Ideal,F,SI1,62.0,57.0,4318,6.21,6.25,3.86
1.5,Very Good,H,SI2,62.0,63.0,7161,7.24,7.28,4.5
0.72,Premium,F,VVS1,62.8,58.0,3689,5.75,5.68,3.59
1.53,Very Good,G,SI1,62.5,56.0,9971,7.32,7.36,4.59
0.72,Very Good,H,SI2,62.4,59.0,2160,5.67,5.71,3.55
2.02,Very Good,D,SI2,60.6,57.0,15334,8.19,8.25,4.98
0.7,Fair,I,VVS2,64.7,55.0,2117,5.62,5.51,3.6
0.51,Ideal,F,VS1,62.1,56.0,1744,5.13,5.15,3.19
0.52,Ideal,D,VS2,61.9,55.0,1802,5.19,5.21,3.22
0.72,Ideal,H,VVS1,61.5,57.0,3180,5.74,5.76,3.54
0.3,Good,G,VS1,63.6,55.0,605,4.26,4.29,2.72
0.54,Ideal,G,VVS2,62.4,53.4,1962,5.22,5.25,3.26
1.02,Good,G,VS1,63.3,58.0,6738,6.38,6.42,4.05
0.53,Ideal,F,VVS2,61.3,55.0,2291,5.23,5.27,3.22
0.5,Very Good,E,VS2,62.9,55.0,1559,5.07,5.11,3.2
0.31,Premium,E,VVS2,60.4,59.0,816,4.34,4.37,2.63
0.37,Ideal,F,SI1,61.6,55.0,747,4.65,4.67,2.87
0.3,Very Good,E,VS2,62.1,62.0,575,4.21,4.26,2.63
0.31,Premium,G,SI1,61.8,60.0,593,4.35,4.32,2.68
0.7,Ideal,J,SI1,62.3,57.0,1974,5.69,5.71,3.55
0.71,Good,G,IF,57.8,62.0,3583,5.82,5.95,3.4
1.71,Premium,D,SI2,60.6,60.0,13325,7.76,7.69,4.68
0.34,Ideal,G,VVS1,62.5,53.0,895,4.47,4.49,2.8
1.35,Premium,H,VS2,61.5,58.0,7918,7.09,7.15,4.38
0.73,Very Good,G,VS1,62.4,58.1,2999,5.71,5.75,3.58
0.33,Ideal,H,SI2,61.4,56.0,554,4.85,4.79,2.95
0.32,Premium,G,VS2,62.0,59.0,720,4.41,4.37,2.72
2.04,Premium,H,SI2,62.7,56.0,15760,8.12,8.06,5.07
0.53,Ideal,G,VS2,61.0,55.0,1625,5.23,5.24,3.2
1.2,Ideal,I,VS1,62.8,55.0,6774,6.79,6.75,4.25
0.6,Ideal,E,VS2,62.3,53.8,2137,5.41,5.45,3.38
